  1    1.92350e-01  1.92350e-01
  2    5.24618e-02  5.24501e-02
  3    1.99607e-02  3.04454e-02
  4    1.03298e-02  1.02166e-02
  5    4.42391e-03  4.58749e-03
  6    2.62280e-03  1.83507e-03
  7    1.21849e-03  8.36117e-04
  8    7.89194e-04  2.18061e-04
  9    4.00499e-04  9.65183e-05
 10    2.70396e-04  1.62205e-05
 11    1.47155e-04  1.05795e-05
 12    1.01478e-04  7.52899e-06
 13    5.77000e-05  1.36598e-06
 14    4.00549e-05
 15    2.34501e-05
 16    1.62911e-05
 17    9.73118e-06
 18    6.74369e-06
 19    4.10918e-06
 20    2.87624e-06
 21    1.92012e-06
